"ID";"FECHA";"REFERENCIA";"NOMBRE";"DEPARTAMENTO";"SUB1";"SUB2";"SUB3";"SUB4";"SUB5";"CANTIDAD";"TOTAL VENTA";"COSTOS"
"266524";"2018-01-05";"SPAI076";"SOBRE REPARA DEEP REPOLIZADOR DE CABELLO X60G";"5";"23";"120";"104";"0";"0";"2";"4400";"4121.94"
"266980";"2018-01-06";"SPAI076";"SOBRE REPARA DEEP REPOLIZADOR DE CABELLO X60G";"5";"23";"120";"104";"0";"0";"1";"2200";"2060.97"
"267462";"2018-01-07";"SPAI076";"SOBRE REPARA DEEP REPOLIZADOR DE CABELLO X60G";"5";"23";"120";"104";"0";"0";"3";"6600";"6182.91"
"266200";"2018-01-04";"SPAI111";"GEL KROLL PRO K/5 SPAISONS X100G";"5";"23";"119";"0";"0";"0";"2";"7000";"4430.7"
"266744";"2018-01-05";"SPAI111";"GEL KROLL PRO K/5 SPAISONS X100G";"5";"23";"119";"0";"0";"0";"1";"3500";"2215.35"
"268692";"2018-01-11";"SPAI111";"GEL KROLL PRO K/5 SPAISONS X100G";"5";"23";"119";"0";"0";"0";"1";"3500";"2215.35"
"269550";"2018-01-13";"SPAI111";"GEL KROLL PRO K/5 SPAISONS X100G";"5";"23";"119";"0";"0";"0";"1";"3500";"2215.35"
"270336";"2018-01-15";"SPAI111";"GEL KROLL PRO K/5 SPAISONS X100G";"5";"23";"119";"0";"0";"0";"1";"3500";"2215.35"
"266201";"2018-01-04";"SPAI880";"KROLL XTREME WAX FLUID X80G SPAISONS";"5";"23";"119";"0";"0";"0";"1";"4100";"2875"
"267912";"2018-01-10";"SPAI880";"KROLL XTREME WAX FLUID X80G SPAISONS";"5";"23";"119";"0";"0";"0";"1";"4100";"2875"
"265980";"2018-01-03";"SPAIN002";"SILICONA REGENERATHOR CX BRILLO Y ESTABILIDAD";"5";"23";"120";"104";"0";"0";"1";"1600";"1090"
"266946";"2018-01-06";"SPAIN002";"SILICONA REGENERATHOR CX BRILLO Y ESTABILIDAD";"5";"23";"120";"104";"0";"0";"1";"1600";"1090"
"269251";"2018-01-12";"SPAIN002";"SILICONA REGENERATHOR CX BRILLO Y ESTABILIDAD";"5";"23";"120";"104";"0";"0";"1";"1600";"1090"
"269487";"2018-01-13";"SPAIN002";"SILICONA REGENERATHOR CX BRILLO Y ESTABILIDAD";"5";"23";"120";"104";"0";"0";"1";"1600";"1090"
"267842";"2018-01-09";"SPCB204";"MEDIA CANILERA BLANCA SPRINTER TALLA  2/4";"4";"18";"104";"0";"0";"47";"2";"9800";"5593"
"266081";"2018-01-03";"SPCB608";"MEDIA CANILERA BLANCA SPRINTER TALLA 6/8";"4";"18";"104";"0";"0";"49";"3";"14700";"9103.5"
"266399";"2018-01-04";"SPCB608";"MEDIA CANILERA BLANCA SPRINTER TALLA 6/8";"4";"18";"104";"0";"0";"49";"4";"19600";"12138"
"266102";"2018-01-03";"SPCB810";"MEDIA CANILERA BLANCA SPRINTER TALLA 8/10";"4";"18";"104";"0";"0";"50";"1";"4900";"3153.5"
"267673";"2018-01-09";"SPEA003";"PARLANTE SPEAKER BASE CELL MODEL Q3";"2";"13";"0";"0";"0";"0";"1";"36000";"0"
"267026";"2018-01-06";"SPEE063";"DESODORANTE SPEED STICK PRACTI GEL  HOMBRE ";"5";"23";"119";"96";"0";"0";"2";"5000";"3418.86"
"267373";"2018-01-07";"SPEE063";"DESODORANTE SPEED STICK PRACTI GEL  HOMBRE ";"5";"23";"119";"96";"0";"0";"2";"5000";"3418.86"
"268376";"2018-01-10";"SPEE063";"DESODORANTE SPEED STICK PRACTI GEL  HOMBRE ";"5";"23";"119";"96";"0";"0";"1";"2500";"1709.43"
"270449";"2018-01-15";"SPEE063";"DESODORANTE SPEED STICK PRACTI GEL  HOMBRE ";"5";"23";"119";"96";"0";"0";"2";"5000";"3418.86"
"269727";"2018-01-14";"SPIC104";"CHANCLA NINO SPICER VARIAS REF 105";"3";"14";"82";"0";"0";"0";"1";"6900";"4000"
"265437";"2018-01-02";"SPID101";"JUEGO DE BASKET SPIDERMAN 2 REF 789B";"2";"9";"68";"0";"0";"0";"1";"4000";"0"
"266709";"2018-01-05";"SPID101";"JUEGO DE BASKET SPIDERMAN 2 REF 789B";"2";"9";"68";"0";"0";"0";"1";"4000";"0"
"268612";"2018-01-11";"SPID101";"JUEGO DE BASKET SPIDERMAN 2 REF 789B";"2";"9";"68";"0";"0";"0";"1";"4000";"0"
"270379";"2018-01-15";"SPID101";"JUEGO DE BASKET SPIDERMAN 2 REF 789B";"2";"9";"68";"0";"0";"0";"1";"4000";"0"
"265950";"2018-01-03";"SPID553";"LANZA DARDO SPIDERMAN 2 REF 3098";"2";"9";"68";"0";"0";"0";"1";"6000";"0"
"267895";"2018-01-09";"SPID553";"LANZA DARDO SPIDERMAN 2 REF 3098";"2";"9";"68";"0";"0";"0";"1";"6000";"0"
"265880";"2018-01-03";"SPIN022";"CONVER DAMA SPINPRO ESTAMPADO REF SPTR022";"3";"16";"93";"0";"0";"0";"-1";"-26000";"0"
"270126";"2018-01-15";"SPOR017";"TOALLA PRETINA COLOR 70X130 SPORT SWEET";"5";"22";"123";"116";"0";"0";"1";"14364.49";"11030"
"267848";"2018-01-09";"SPOR019";"MORRAL MED EXPANCION SPORT SEBAS";"4";"19";"0";"0";"0";"0";"1";"27000";"0"
"269940";"2018-01-15";"SPOR021";"TOALLA BORDADA 40X65 SPORT SWEET";"5";"22";"123";"116";"0";"0";"15";"114000";"37016.4"
"265715";"2018-01-02";"SPOR056";"MEDIA HOMBRE GOLD LINE SURTIDAS";"1";"5";"47";"63";"0";"0";"1";"1900";"1243.3"
"270515";"2018-01-15";"SPOR240";"ZAPATILLA HM SPORT Y NIKE";"3";"16";"94";"0";"0";"0";"1";"37000";"0"
"266981";"2018-01-06";"SPOR307";"TOALLA 70X150 PRETENIDA SPORT SWEET";"6";"27";"123";"116";"78";"0";"1";"20000";"12800"
"268938";"2018-01-12";"SPOR307";"TOALLA 70X150 PRETENIDA SPORT SWEET";"6";"27";"123";"116";"78";"0";"1";"20000";"12800"
"267430";"2018-01-07";"SPOR312";"LIMPION  FACIAL PEQ 30X30";"6";"27";"124";"119";"0";"0";"1";"1000";"627.36"
"268711";"2018-01-11";"SPOR312";"LIMPION  FACIAL PEQ 30X30";"6";"27";"124";"119";"0";"0";"1";"1000";"627.36"
"269941";"2018-01-15";"SPOR414";"TOALLA PRETINA COLOR 40X70 SPORT SWEET";"6";"27";"123";"116";"77";"0";"15";"97500";"49852.95"
"267818";"2018-01-09";"SPOR480";"RELOJ PULSO SPORT XINJIA SRT ";"2";"12";"0";"0";"0";"0";"1";"7000";"0"
"268456";"2018-01-10";"SPOR730";"PANTALONETA HOMBRE PERCHADA SPORT ";"1";"5";"45";"0";"0";"0";"2";"19800";"14000"
"267784";"2018-01-09";"SPOR810";"SET RAQUETA PRINCESAS SPORT TOYS REF 5688T10";"2";"9";"68";"0";"0";"0";"1";"5000";"0"
"267937";"2018-01-10";"SPOR840";"TOALLA BORDADA 60X115 SPORT SWEET";"6";"27";"123";"116";"0";"0";"5";"77000";"42095.55"
"268403";"2018-01-10";"STAP001";"GRAPADORA MINI STAPLER";"4";"17";"97";"65";"17";"0";"1";"2900";"1886.22"
"270578";"2018-01-15";"STAP001";"GRAPADORA MINI STAPLER";"4";"17";"97";"65";"17";"0";"1";"2900";"1886.22"
"270038";"2018-01-15";"STAR188";"LEGO STAR WAR ARMABLE";"2";"9";"68";"0";"0";"0";"2";"18700";"0"
"265842";"2018-01-03";"STAY014";"STAYFREE ULTRA DELGADA X12";"5";"23";"119";"98";"0";"0";"1";"3100";"1889"
